epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,51.6914,1.63842,1.26261,1.14357,0.69263,0.09218,0.2423,0.13274,2.07512,2.93475,1.36149,0.00121393,0.00121393,0.00121393
81,52.2871,1.67921,1.18,1.11253,0.02802,0.57051,0.32795,0.15639,2.02939,2.93154,1.34719,0.00122798,0.00122798,0.00122798
82,52.8422,1.60721,1.22195,1.12983,0.02802,0.57051,0.32795,0.15639,2.02939,2.93154,1.34719,0.00124199,0.00124199,0.00124199
83,53.3591,1.736,1.15528,1.08971,0.02802,0.57051,0.32795,0.15639,2.02939,2.93154,1.34719,0.00125597,0.00125597,0.00125597
84,53.9637,1.47793,1.03353,1.07734,0.57702,0.29075,0.28425,0.1306,2.04522,2.88805,1.33769,0.00126992,0.00126992,0.00126992
85,54.5127,1.81498,1.21873,1.10394,0.57702,0.29075,0.28425,0.1306,2.04522,2.88805,1.33769,0.00128383,0.00128383,0.00128383
86,55.0296,1.57254,1.3012,1.10183,0.57702,0.29075,0.28425,0.1306,2.04522,2.88805,1.33769,0.00129771,0.00129771,0.00129771
87,55.6037,1.78951,1.15308,1.08437,0.57702,0.29075,0.28425,0.1306,2.04522,2.88805,1.33769,0.00131156,0.00131156,0.00131156
88,56.0976,1.61545,1.12284,1.1127,0.72298,0.20632,0.38621,0.17185,2.03771,2.73419,1.31141,0.00132538,0.00132538,0.00132538
89,56.6712,1.57034,1.09556,1.09304,0.72298,0.20632,0.38621,0.17185,2.03771,2.73419,1.31141,0.00133916,0.00133916,0.00133916
90,57.1668,1.63626,1.14663,1.0735,0.72298,0.20632,0.38621,0.17185,2.03771,2.73419,1.31141,0.00135291,0.00135291,0.00135291
91,57.8811,1.6903,1.18394,1.0941,0.72298,0.20632,0.38621,0.17185,2.03771,2.73419,1.31141,0.00136662,0.00136662,0.00136662
92,58.731,1.5566,1.0677,1.07048,0.63456,0.2601,0.42837,0.20875,2.06977,2.54196,1.31984,0.00138031,0.00138031,0.00138031
93,59.5916,1.5124,1.03267,1.05472,0.63456,0.2601,0.42837,0.20875,2.06977,2.54196,1.31984,0.00139396,0.00139396,0.00139396
94,60.4845,1.40078,1.00321,1.05703,0.63456,0.2601,0.42837,0.20875,2.06977,2.54196,1.31984,0.00140757,0.00140757,0.00140757
95,61.4232,1.63013,1.19618,1.07268,0.63456,0.2601,0.42837,0.20875,2.06977,2.54196,1.31984,0.00142116,0.00142116,0.00142116
96,61.9199,1.61316,1.08696,1.08656,0.62657,0.3824,0.46811,0.20968,2.10837,2.35979,1.35422,0.00143471,0.00143471,0.00143471
97,62.5016,1.48659,1.02768,1.04899,0.62657,0.3824,0.46811,0.20968,2.10837,2.35979,1.35422,0.00144823,0.00144823,0.00144823
98,63.0252,1.55749,1.03073,1.06502,0.62657,0.3824,0.46811,0.20968,2.10837,2.35979,1.35422,0.00146171,0.00146171,0.00146171
99,63.6733,1.56311,1.04979,1.03634,0.62657,0.3824,0.46811,0.20968,2.10837,2.35979,1.35422,0.00147516,0.00147516,0.00147516
100,64.2296,1.53978,1.03373,1.14892,0.59029,0.42862,0.5259,0.22699,2.1086,2.16867,1.31155,0.00148858,0.00148858,0.00148858
101,64.6839,1.77874,1.17708,1.09291,0.59029,0.42862,0.5259,0.22699,2.1086,2.16867,1.31155,0.00150197,0.00150197,0.00150197
102,65.2542,1.57433,1.21578,1.06653,0.59029,0.42862,0.5259,0.22699,2.1086,2.16867,1.31155,0.00150032,0.00150032,0.00150032
103,65.8881,1.50359,1.10999,1.09853,0.59029,0.42862,0.5259,0.22699,2.1086,2.16867,1.31155,0.00149867,0.00149867,0.00149867
104,66.4424,1.58626,1.0357,1.04534,0.50031,0.48205,0.53346,0.21713,2.05167,2.04967,1.27788,0.00149702,0.00149702,0.00149702
105,66.9484,1.49499,1.00386,1.04469,0.50031,0.48205,0.53346,0.21713,2.05167,2.04967,1.27788,0.00149537,0.00149537,0.00149537
106,67.4412,1.51163,1.01771,1.0771,0.50031,0.48205,0.53346,0.21713,2.05167,2.04967,1.27788,0.00149372,0.00149372,0.00149372
107,67.9809,1.56995,1.007,1.05307,0.50031,0.48205,0.53346,0.21713,2.05167,2.04967,1.27788,0.00149207,0.00149207,0.00149207
108,68.6267,1.57343,1.09924,1.08174,0.49477,0.56447,0.51129,0.19679,2.13213,2.07363,1.31214,0.00149041,0.00149041,0.00149041
109,69.1795,1.58349,1.05027,1.10446,0.49477,0.56447,0.51129,0.19679,2.13213,2.07363,1.31214,0.00148876,0.00148876,0.00148876
110,69.6993,1.42748,1.05934,1.00985,0.49477,0.56447,0.51129,0.19679,2.13213,2.07363,1.31214,0.00148711,0.00148711,0.00148711
111,70.2309,1.54098,1.11648,1.0691,0.49477,0.56447,0.51129,0.19679,2.13213,2.07363,1.31214,0.00148546,0.00148546,0.00148546
112,70.7751,1.49196,1.05772,1.02529,0.53592,0.56754,0.52794,0.1922,2.18919,2.04504,1.33769,0.00148381,0.00148381,0.00148381
113,71.2107,1.49688,1.03716,1.03026,0.53592,0.56754,0.52794,0.1922,2.18919,2.04504,1.33769,0.00148216,0.00148216,0.00148216
114,71.8933,1.38276,1.03339,1.00603,0.53592,0.56754,0.52794,0.1922,2.18919,2.04504,1.33769,0.00148051,0.00148051,0.00148051
115,72.55,1.51064,1.00687,1.0133,0.53592,0.56754,0.52794,0.1922,2.18919,2.04504,1.33769,0.00147886,0.00147886,0.00147886
116,73.5721,1.62684,1.09904,1.03004,0.57374,0.50641,0.54793,0.16966,2.20023,2.0817,1.35205,0.00147721,0.00147721,0.00147721
117,74.302,1.46737,1.03331,1.02795,0.57374,0.50641,0.54793,0.16966,2.20023,2.0817,1.35205,0.00147556,0.00147556,0.00147556
118,75.3286,1.44599,0.99484,1.03348,0.57374,0.50641,0.54793,0.16966,2.20023,2.0817,1.35205,0.00147391,0.00147391,0.00147391
119,75.8712,1.42979,0.97176,0.99402,0.57374,0.50641,0.54793,0.16966,2.20023,2.0817,1.35205,0.00147226,0.00147226,0.00147226
120,76.425,1.50766,1.00537,1.02846,0.5337,0.49518,0.53841,0.19804,2.13022,1.96189,1.30707,0.00147061,0.00147061,0.00147061
121,76.958,1.47298,0.99351,0.99984,0.5337,0.49518,0.53841,0.19804,2.13022,1.96189,1.30707,0.00146896,0.00146896,0.00146896
122,77.4145,1.48846,0.9434,1.00817,0.5337,0.49518,0.53841,0.19804,2.13022,1.96189,1.30707,0.00146731,0.00146731,0.00146731
123,78.0033,1.58043,1.04045,1.03127,0.5337,0.49518,0.53841,0.19804,2.13022,1.96189,1.30707,0.00146566,0.00146566,0.00146566
124,78.4839,1.43223,0.96692,1.02291,0.55332,0.54714,0.56757,0.21707,2.1196,1.84139,1.28245,0.00146401,0.00146401,0.00146401
125,78.9842,1.47745,0.92908,0.99484,0.55332,0.54714,0.56757,0.21707,2.1196,1.84139,1.28245,0.00146236,0.00146236,0.00146236
126,79.5552,1.43394,0.94794,1.01615,0.55332,0.54714,0.56757,0.21707,2.1196,1.84139,1.28245,0.00146071,0.00146071,0.00146071
127,79.9731,1.41865,0.98165,1.06609,0.55332,0.54714,0.56757,0.21707,2.1196,1.84139,1.28245,0.00145906,0.00145906,0.00145906
128,80.5669,1.50807,0.97416,1.00399,0.5717,0.56244,0.55985,0.21723,2.12077,1.91482,1.28778,0.00145741,0.00145741,0.00145741
129,81.0834,1.62357,1.06229,1.01724,0.5717,0.56244,0.55985,0.21723,2.12077,1.91482,1.28778,0.00145576,0.00145576,0.00145576
130,81.6117,1.42727,0.9202,0.9701,0.5717,0.56244,0.55985,0.21723,2.12077,1.91482,1.28778,0.00145411,0.00145411,0.00145411
131,82.1631,1.31909,0.95308,1.00221,0.5717,0.56244,0.55985,0.21723,2.12077,1.91482,1.28778,0.00145246,0.00145246,0.00145246
132,82.7127,1.502,0.98609,1.0337,0.57046,0.52145,0.54842,0.21925,2.16762,1.95879,1.35958,0.00145081,0.00145081,0.00145081
133,83.1913,1.41845,0.95551,1.02655,0.57046,0.52145,0.54842,0.21925,2.16762,1.95879,1.35958,0.00144916,0.00144916,0.00144916
134,83.7941,1.33605,1.01479,0.99917,0.57046,0.52145,0.54842,0.21925,2.16762,1.95879,1.35958,0.00144751,0.00144751,0.00144751
135,84.217,1.42008,1.03399,1.06438,0.57046,0.52145,0.54842,0.21925,2.16762,1.95879,1.35958,0.00144586,0.00144586,0.00144586
